gs_step,col_step,particle_ht,ashdiam,part_density,fall_time,plume_diffusion_fine_particle,plume_diffusion_coarse_particle,total_fall_time,wind_sum_x,wind_sum_y,actual_mass
0,28,8700.7100000000,0.0000000000,0.0000000000,656.4702808037,744.7591009274,242.1918530691,19037.6381433068,0.0000000000,380752.7628661356,71651784.1521470696
0,29,9000.7000000000,0.0000000000,0.0000000000,656.4702808037,765.2342935154,259.1827202880,19694.1084241105,0.0000000000,393882.1684822092,75598506.1644465178
0,30,9300.6900000000,0.0000000000,0.0000000000,656.4702808037,785.5734111801,276.7495491075,20350.5787049141,0.0000000000,407011.5740982828,79569227.7025124431
0,31,9600.6800000000,0.0000000000,0.0000000000,656.4702808037,805.7817062292,294.8923395277,21007.0489857178,0.0000000000,420140.9797143565,83556748.9086149037
0,32,9900.6700000000,0.0000000000,0.0000000000,656.4702808037,825.8640708252,313.6110915485,21663.5192665215,0.0000000000,433270.3853304301,87553869.9250239730
0,33,10200.6600000000,0.0000000000,0.0000000000,656.4702808037,845.8250718245,332.9058051699,22319.9895473252,0.0000000000,446399.7909465038,91553390.8940096945
0,34,10500.6500000000,0.0000000000,0.0000000000,656.4702808037,865.6689813214,352.7764803920,22976.4598281289,0.0000000000,459529.1965625774,95548111.9578421116
0,35,10800.6400000000,0.0000000000,0.0000000000,656.4702808037,885.3998035360,373.2231172147,23632.9301089326,0.0000000000,472658.6021786510,99530833.2587912977
0,36,11100.6300000000,0.0000000000,0.0000000000,656.4702808037,905.0212985710,394.2457156381,24289.4003897362,0.0000000000,485788.0077947247,103494354.9391272962
0,37,11400.6200000000,0.0000000000,0.0000000000,656.4702808037,924.5370034778,415.8442756621,24945.8706705399,0.0000000000,498917.4134107983,107431477.1411201209
0,38,11700.6100000000,0.0000000000,0.0000000000,656.4702808037,943.9502509990,438.0187972867,25602.3409513436,0.0000000000,512046.8190268719,111335000.0070398897
